genres,keywords,original_language,overview,production_companies,runtime,title,cast,director
"Adventure, Fantasy, Action",sea captain mutiny sword prime minister,en,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)",136,Pirates of the Caribbean: On Stranger Tides,"Johnny Depp, Penélope Cruz, Ian McShane, Kevin McNally, Geoffrey Rush",Rob Marshall
"Science Fiction, Action, Comedy",time travel time machine alien fictional government agency seeing the future,en,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","Amblin Entertainment, Media Magik Entertainment, Imagenation Abu Dhabi FZ, Hemisphere Media Capital, Parkes/MacDonald Productions",106,Men in Black 3,"Will Smith, Tommy Lee, Jones Josh, Brolin Michael, Stuhlbarg Emma, Thompson",Barry Sonnenfeld
"Adventure, Fantasy, Action",corruption elves dwarves orcs middle-earth (tolkien),en,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","WingNut Films, New Line Cinema, Warner Bros. Pictures, 3Foot7, Metro-Goldwyn-Mayer (MGM)",144,The Hobbit: The Battle of the Five Armies,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott, Graham McTavish",Peter Jackson
"Adventure, Fantasy, Action",loss of father vigilante serum marvel comic scientific experiment,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","Columbia Pictures, Laura Ziskin Productions, Marvel Entertainment",136,The Amazing Spider-Man,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Campbell Scott",Marc Webb
"Adventure, Action",robin hood archer knight sherwood forest bow and arrow,en,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","Imagine Entertainment, Universal Pictures, Scott Free Productions, Relativity Media",140,Robin Hood,"Russell Crowe, Cate Blanchett, Max von, Sydow William, Hurt Mark, Strong",Ridley Scott
"Adventure, Fantasy",elves dwarves orcs hobbit dragon,en,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","WingNut Films, New Line Cinema, Warner Bros. Pictures, Metro-Goldwyn-Mayer (MGM)",161,The Hobbit: The Desolation of Smaug,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott, Graham McTavish",Peter Jackson
"Adventure, Fantasy",england compass experiment lordship uncle,en,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","New Line Cinema, Ingenious Film Partners, Depth of Field, Scholastic Productions",113,The Golden Compass,"Dakota Blue, Richards Nicole, Kidman Daniel, Craig Sam, Elliott Eva, Green",Chris Weitz
"Thriller, Romance, Drama",shipwreck iceberg ship panic titanic,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","Paramount Pictures, Twentieth Century Fox Film Corporation, Lightstorm Entertainment",194,Titanic,"Kate Winslet, Leonardo DiCaprio, Frances Fisher, Billy Zane, Kathy Bates",James Cameron
"Science Fiction, Adventure, Action",civil war war marvel comic sequel superhero,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","Studio Babelsberg, Marvel Studios, Walt Disney Studios Motion Pictures, Vita-Ray Dutch Productions (III), Deluxe Digital Studios",147,Captain America: Civil War,"Chris Evans, Robert Downey, Jr. Scarlett, Johansson Sebastian, Stan Anthony, Mackie",Anthony Russo
"Adventure, Thriller, Action",spy secret agent sociopath killer art gallery,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Columbia Pictures,143,Skyfall,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris",Sam Mendes
"Adventure, Fantasy, Action",dual identity love of one's life pizza boy marvel comic sequel,en,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",127,Spider-Man 2,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris",Sam Raimi
"Science Fiction, Adventure, Action",terrorist war on terror tennessee malibu marvel comic,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Marvel Studios,130,Iron Man 3,"Robert Downey, Jr. Gwyneth, Paltrow Don, Cheadle Guy, Pearce Rebecca, Hall",Shane Black
"Adventure, Fantasy, Family",based on novel fictional place queen fantasy alice in wonderland,en,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","Walt Disney Pictures, Team Todd, Tim Burton Productions, Roth Films, Zanuck Company, The",108,Alice in Wonderland,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham, Carter Crispin, Glover",Tim Burton
"Science Fiction, Adventure, Action",egypt sun chaos symbol artifact,en,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","Paramount Pictures, DreamWorks SKG, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, Hasbro Studios, Revolution Sun Studios",150,Transformers: Revenge of the Fallen,"Shia LaBeouf, Megan Fox, Josh Duhamel, Rainn Wilson, Tyrese Gibson",Michael Bay
"Science Fiction, Adventure, Action",sequel alien transformers giant robot robot,en,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","Paramount Pictures, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, China Movie Channel, Hasbro Studios, Ian Bryce Productions, Revolution Sun Studios",165,Transformers: Age of Extinction,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz, Jack Reynor",Michael Bay
"Adventure, Fantasy, Family",circus witch magic hope illusion,en,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","Walt Disney Pictures, Roth Films",130,Oz: The Great and Powerful,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams, Zach Braff",Sam Raimi
"Adventure, Fantasy, Action",obsession marvel comic sequel based on comic book electrocution,en,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","Columbia Pictures, Marvel Enterprises, Avi Arad Productions, Matt Tolmach Productions",142,The Amazing Spider-Man 2,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Campbell Scott",Marc Webb
"Science Fiction, Adventure, Action",artificial intelligence secret identity computer program dystopia computer,en,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.","Walt Disney Pictures, LivePlanet, Prana Studios, Sean Bailey Productions, Revolution Sun Studios, Kontsept Film Company",125,TRON: Legacy,"Garrett Hedlund, Jeff Bridges, Olivia Wilde, Bruce Boxleitner, Yaya DaCosta",Joseph Kosinski
"Adventure, Animation, Comedy, Family",car race sequel comedy anthropomorphism best friend,en,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"Walt Disney Pictures, Pixar Animation Studios",106,Cars 2,"Owen Wilson, Larry the, Cable Guy, Michael Caine, Emily Mortimer, John Turturro",John Lasseter
"Science Fiction, Adventure, Thriller, Action",dc comics transformation superhero alien alien infection,en,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.","De Line Pictures, Warner Bros., DC Entertainment",114,Green Lantern,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Tim Robbins, Mark Strong",Martin Campbell
"Animation, Comedy, Family",hostage college toy barbie animation,en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","Walt Disney Pictures, Pixar Animation Studios",103,Toy Story 3,"Tom Hanks, Tim Allen, Ned Beatty, Joan Cusack, Michael Keaton",Lee Unkrich
"Science Fiction, Thriller, Action",saving the world artificial intelligence prophecy san francisco cyborg,en,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.","Columbia Pictures, The Halcyon Company, Wonderland Sound and Vision, Warner Bros.",115,Terminator Salvation,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood, Bryce Dallas, Howard",McG
Action,car race speed revenge suspense car,en,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Universal Pictures, Original Film, Fuji Television Network, Dentsu, One Race Films, China Film Co., Québec Production Services Tax Credit, Media Rights Capital (MRC), Abu Dhabi Film Commission, Colorado Office of Film, Television & Media",137,Furious 7,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson",James Wan
"Science Fiction, Thriller, Action, Horror, Drama",dystopia apocalypse zombie nuclear weapons multiple perspectives,en,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","Paramount Pictures, GK Films, Skydance Productions, Hemisphere Media Capital, Apparatus Productions, Latina Pictures, 2DUX²",116,World War Z,"Brad Pitt, Mireille Enos, Abigail Hargrove, Sterling Jerins, James Badge, Dale",Marc Forster
"Science Fiction, Adventure, Fantasy, Action",1970s mutant time travel marvel comic based on comic book,en,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,"Twentieth Century Fox Film Corporation, Donners' Company, Marvel Entertainment, Bad Hat Harry Productions, TSG Entertainment, Down Productions, Revolution Sun Studios",131,X-Men: Days of Future Past,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry",Bryan Singer
"Fantasy, Action, Family",based on fairy tale giant,en,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.","New Line Cinema, Original Film, Legendary Pictures, Warner Bros., Big Kid Pictures, Bad Hat Harry Productions",114,Jack the Giant Slayer,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci, Ian McShane",Bryan Singer
"Adventure, Fantasy, Romance, Action",persia sandstorm brother against brother armageddon regent,en,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.","Walt Disney Pictures, Jerry Bruckheimer Films",116,Prince of Persia: The Sands of Time,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Steve Toussaint",Mike Newell
"Science Fiction, Adventure, Action",dystopia giant robot giant monster apocalypse imax,en,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.","Legendary Pictures, Warner Bros., Disney Double Dare You (DDY), Indochina Productions",131,Pacific Rim,"Idris Elba, Charlie Hunnam, Charlie Day, Ron Perlman, Burn Gorman",Guillermo del Toro
"Science Fiction, Adventure, Action",moon spacecraft traitor bodyguard alien planet,en,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.","Paramount Pictures, Di Bonaventura Pictures, Indochina Productions, Hasbro Studios",154,Transformers: Dark of the Moon,"Shia LaBeouf, John Malkovich, Ken Jeong, Frances McDormand, Josh Duhamel",Michael Bay
"Adventure, Action",saving the world riddle whip treasure mexico city,en,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.","Lucasfilm, Paramount Pictures",122,Indiana Jones and the Kingdom of the Crystal Skull,"Harrison Ford, Cate Blanchett, Shia LaBeouf, Ray Winstone, Karen Allen",Steven Spielberg
"Adventure, Animation, Family",tyrannosaurus rex friends alternate history dinosaur fear,en,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,"Walt Disney Pictures, Pixar Animation Studios",93,The Good Dinosaur,"Raymond Ochoa, Jack Bright, Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla",Peter Sohn
"Adventure, Animation, Action, Comedy, Family",scotland rebel bravery kingdom archer,en,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","Walt Disney Pictures, Pixar Animation Studios",93,Brave,"Kelly Macdonald, Julie Walters, Billy Connolly, Emma Thompson, Kevin McKidd",Brenda Chapman
"Science Fiction, Adventure, Action",sequel stranded hatred space opera,en,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.","Paramount Pictures, Bad Robot, Perfect Storm Entertainment, Alibaba Pictures Group, Skydance Media, Sneaky Shark, Huahua Media",122,Star Trek Beyond,"Chris Pine, Zachary Quinto, Karl Urban, Simon Pegg, Zoe Saldana",Justin Lin
"Animation, Family",romantic comedy,en,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.","Walt Disney Pictures, Pixar Animation Studios, FortyFour Studios",98,WALL·E,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger",Andrew Stanton
"Science Fiction, Adventure, Action",civilization natural disaster end of the world disaster apocalypse,en,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.","Columbia Pictures, Centropolis Entertainment, The Mark Gordon Company, Farewell Productions",158,2012,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt",Roland Emmerich
"Animation, Drama",holiday based on novel victorian england money christmas eve,en,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.","Walt Disney, ImageMovers",96,A Christmas Carol,"Gary Oldman, Jim Carrey, Steve Valentine, Daryl Sabara, Sage Ryan",Robert Zemeckis
"Science Fiction, Adventure, Fantasy, Action",jupiter space woman director 3d interspecies romance,en,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…","Village Roadshow Pictures, Dune Entertainment, Anarchos Productions, Warner Bros.",124,Jupiter Ascending,"Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne, Douglas Booth",Lilly Wachowski
